;;15032;15029;15028;15027;15026;15025;15024;15023;15022;15021;15020;15019;15018;15017;15016;15015;15014;15013;15012;15011;15010;15009;15007;15006;15005;15004;15003;15002;15001
;;Aug 8;Aug 7;Aug 6;Aug 5;Aug 5;Aug 4;Aug 4;Aug 3;Aug 3;Aug 3;Aug 2;Aug 2;Aug 1;Aug 1;Jul 31;Jul 31;Jul 30;Jul 30;Jul 29;Jul 29;Jul 28;Jul 28;Jul 27;Jul 27;Jul 27;Jul 26;Jul 26;Jul 25;Jul 25
octopus-kernelnext (foob);;;;;;1;;;;;1;;1;;;;;;1;;;;;;;1;;;;
octopus-kernelnext (foob360);;;;;;1;;;;;1;;1;;;;;;1;;;;;;;;;;;
octopus-kernelnext (garfour);;;;;;1;;;;;1;;;;1;;;;;;;;;;;1;;1;;
octopus-kernelnext (garg);;;;;;1;;;;;1;;;;;;;;1;;;;;1;;;;1;;
octopus-kernelnext (garg360);;;;;;1;;;;;1;;1;;;;;;1;;;;;1;;1;;1;;
octopus-kernelnext (grabbiter);;;;;;1;;;;;1;;;;1;;1;;1;;;1;;1;;1;;;;
octopus-kernelnext (laser14);;;;;;1;;;;;1;;1;;;;1;;1;;;;;;;1;;;;
octopus-kernelnext (lick);;;;;;;;;;;1;;;;;;;;;;;;;;;1;;1;;
octopus-kernelnext (meep);;;;;;;;;;;;;;;;;;;1;;;1;;;;;;1;;
octopus-kernelnext (mimrock);;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;
octopus-kernelnext (nospike);;;;;;1;;;;;1;;1;;1;;1;;;;;;;1;;1;;;;
octopus-kernelnext (orbatrix);;;;;;1;;;;;1;;;;;;;;;;;1;;1;;1;;;;
octopus-kernelnext (phaser);;;;;;1;;;;;1;;;;;;;;1;;;;;1;;;;;;
octopus-kernelnext (phaser360);;;;;;1;;;;;1;;1;;;;1;;1;;;;;;;1;;;;
octopus-kernelnext (sparky);;;;;;;;;;;1;;;;1;;;;;;;;;1;;1;;1;;
octopus-kernelnext (sparky360);;;;;;;;;;;1;;1;;;;;;1;;;1;;;;;;1;;
octopus-kernelnext (vorticon);;;;;;1;;;;;;;1;;;;;;1;;;;;1;;1;;;;
octopus-kernelnext (vortininja);;;;;;1;;;;;1;;1;;1;;;;1;;;;;1;;1;;1;;
puff (dooly);;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;
puff (duffy);;;;;;;1;;;;;1;;;;1;;1;;;1;;;;;;;;;
puff (faffy);;;;;;;;;;;;1;;1;;1;;;;1;1;;;;1;;;;1;
puff (kaisa);;;;;;;;;;;;1;;1;;;;1;;;1;;;;1;;;;;
puff (noibat);;;;;;;1;;;;;1;;;;;;;;1;1;;;;1;;;;1;
puff (wyvern);;;;;;;1;;;;;;;1;;1;;;;;;;;;1;;;;1;
pyro;;;;;;;1;;;;;;;1;;;;;;;;;;;1;;1;;;
rammus (shyvana);;;;;;;1;;;;;1;;;;;;1;;;1;;1;;;;1;;1;
rammus-arc-r (shyvana);;;;;;;;;;;;;;;;;1;;1;;;;;1;;;;;;
sarien (arcada);;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;
sarien;;;;;;;1;;;;;;;;;1;;;;;;;1;;;;;;;
scarlet (dru);;;;;;1;;1;;1;;;;;1;;;;;;;;;;;;;;;
scarlet (dumo);;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;
scarlet-kernelnext (dru);;;;;;1;;;;1;1;;1;;1;;;;;;;1;;1;;;;;;
scarlet-kernelnext (druwl);;;;;;;;1;;1;1;;;;1;;1;;1;;;;;1;;1;;1;;
scarlet-kernelnext (dumo);;;;1;;1;;1;;1;1;;1;;1;;;;;;;1;;1;;1;;1;;
snappy-kernelnext (snappy);;;;;;1;;1;;1;1;;;;;;1;;;;;;;1;;1;;;;
soraka;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
strongbad (coachz);;;;;;1;;;;;1;;1;;;;;;;;;;;1;;;;;;
strongbad (homestar);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
strongbad (mrbland);;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
strongbad (quackingstick);;;;;;1;;;;;;;;;;;1;;;;;;;;;;1;;;
strongbad (wormdingler);;;;;;1;;;;;;;1;;;;;;;;;;;;;;;1;;
strongbad-kernelnext (coachz);;;;;;;;;;;1;;;;1;;;;1;;;;;1;;1;;1;;
strongbad-kernelnext (homestar);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
trogdor (lazor);;;;;;1;1;;;;1;1;;;1;;;;1;;;1;;;;1;;;;
trogdor (limozeen);;;;;;1;;;;;1;;1;;;;;;;;;;;;;1;;;;
trogdor (pazquel);;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;;;
trogdor (pompom);;;;;;1;;;;;1;;1;;1;;1;;1;;;1;;1;;1;;;;
trogdor-arc-r (pompom);;;;;;1;;;;;1;;;;1;;;;;;;1;;1;;1;;;;
trogdor-kernelnext (lazor);;;;;;1;;;;;1;;;;1;;;;1;;;;;;;1;;;;
trogdor-kernelnext (limozeen);;;;;;;;;;;1;;;;1;;1;;1;;;;;1;;1;;1;;
trogdor-kernelnext (pompom);;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;1;;
trogdor64 (lazor);;;;;;;;;;;1;;;;1;;;;;;;1;;1;;;;1;;
volteer (chronicler);;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
volteer (collis);;;;;;;;;;;;1;;1;;;;;;;;;;;;;1;;1;
volteer (copano);;;;;;;1;;;;;1;;1;;1;;;;1;;;1;;;;1;;;
volteer (delbin);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (drobit);;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;
volteer (eldrid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (elemi);;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
volteer (lillipup);;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;
volteer (lindar);;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;1;
