; 15032 ; 15029 ; 15028 ; 15027 ; 15026 ; 15025 ; 15024 ; 15023 ; 15022 ; 15021 ; 15020 ; 15019 ; 15018 ; 15017 ; 15016 ; 15015 ; 15014 ; 15013 ; 15012 ; 15011 ; 15010 ; 15009 ; 15007 ; 15006 ; 15005 ; 15004 ; 15003 ; 15002 
puff (faffy);;x;;x;;;;;;;;;x;;;;;;;;;;;;;x;;
puff (kaisa);;;;x;;;;;;;x;;;;x;;;;;x;;x;;;;x;;
puff (noibat);;x;;x;;;;;;;x;;x;;;;x;;;;;x;;;;x;;
puff;;;;;;;;;;;x;;x;;;;;;;x;;x;;;;;;
puff (wyvern);;;;;;;;;;;x;;;;;;;;;;;;;x;;;;
rammus (shyvana);;x;;x;;x;;;;;x;;;;;;x;;x;;;;;;;x;;
rammus-arc-r (shyvana);;;;;x;;;;;x;;;;x;;;;;;;x;;;;;;;
sarien (arcada);;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;
sarien;;;;x;;x;;;;;x;;;;;;x;;;;;;;;;;;
scarlet (dru);;;;;x;;;;x;x;;;;x;;;;;;;;;;;;;;
scarlet (dumo);;;;;x;;x;;x;x;;x;;x;;;;;;;;;;;;;;
scarlet-kernelnext (dru);;;x;;x;;;;x;x;;x;;;;x;;;;;x;;;;x;;x;
scarlet-kernelnext (druwl);;;x;;x;;;;;x;;x;;;;x;;;;;x;;x;;x;;x;
scarlet-kernelnext (dumo);;;x;;x;;;;x;;;x;;x;;;;x;;;;;;;;;x;
snappy-kernelnext (snappy);;;x;;;;x;;x;x;;;;;;;;x;;;;;x;;;;;
soraka;;;;;;x;;;;;;;;;;;x;;;;;;;x;;;;
strongbad (coachz);;x;x;;x;;;;;x;;x;;x;;x;;;;;x;x;x;;x;;;
strongbad (mrbland);;;;;;;;;;x;;x;;;;;;;;;;;;;;;;
strongbad (quackingstick);;;;;;;;;;;;;;;;;;;;;;;x;;;;;
strongbad (wormdingler);;;;;;;;;;x;;x;x;;;x;;;;;;;;;;;;
strongbad-kernelnext (coachz);;;x;;x;;;;;x;;;;;;x;;x;;;x;;;;x;;x;
trogdor (lazor);;;x;x;x;;;;;x;x;;x;;;x;;;;;;;x;;x;;x;
trogdor (limozeen);;;;;;;;;;x;;x;;;;x;;;;;;;x;;x;;;
trogdor (pazquel);;;x;;x;;;;;;;;;;;x;;;;;;;;;;;x;
trogdor (pompom);;;x;;x;;;;;x;;;;;;x;;;;;;;x;;x;;;
